model_name,lang,category,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
BSC-LT/salamandra-2b-instruct,gl,WrittenWork,43,0.04646988214401415,0.3217897830971259,0.05390640249224454,0.16711975127866785,0.6502342931059903,0.6805920295937117,0.6640737708224806,0.6247703058775081,0.8429040174151576,2.096012747878395,1.7109422102089058,0.023810188963368808
CohereLabs/tiny-aya-global,ca,Airport,95,0.371581588578909,0.5975265535730825,0.5614909671382649,0.6362249891012403,0.881096645405418,0.8842649974321064,0.8824389100074768,0.9281388069453992,0.935321277066281,0.9832940574447131,0.10322136544866715,0.3845173987378122
CohereLabs/tiny-aya-global,ca,Artist,109,0.32105840707795485,0.5640477479232814,0.48899647070493796,0.5861794795375573,0.8655858028919325,0.8776718766317455,0.8712888972474895,0.8971475062020328,0.9357131303997215,1.035304697583039,0.14004248537898079,0.3300358823626516
CohereLabs/tiny-aya-global,ca,Astronaut,82,0.40910146403837155,0.5793884271150601,0.5758674481762788,0.6347884058040894,0.8515543283485785,0.8842886729938227,0.8670934620426922,0.9118077711361211,0.9338875892685681,1.2212378411834124,0.2446486463614991,0.3780120332963637
CohereLabs/tiny-aya-global,ca,Athlete,50,0.33577744001427184,0.5415866056757748,0.5239670264088725,0.611576331120101,0.8572000026702881,0.8831038653850556,0.8695785331726075,0.9123203051090241,0.9417658281326294,1.143340031727616,0.1755766916480755,0.3113946615050832
CohereLabs/tiny-aya-global,ca,Building,46,0.3753480030238462,0.4529593755663574,0.4944425652481687,0.572706922523259,0.8180859140727831,0.8469423599865126,0.8321663802084716,0.8997497597466344,0.9358270440412604,1.0755800362565473,0.08817191093732911,0.3909365387297092
CohereLabs/tiny-aya-global,ca,CelestialBody,49,0.2731995829456134,0.46576469125666614,0.4774036358133706,0.5611764664259855,0.8135217598506382,0.8332053082329887,0.8230744673281299,0.8848344793125075,0.9235247677686264,1.085079018398882,0.11714925527200198,0.2775175951023001
CohereLabs/tiny-aya-global,ca,City,83,0.3736693512853775,0.5578652982641871,0.561285109124375,0.6254333993177795,0.8444058729941586,0.8649828118014048,0.8541437832705946,0.9049230562635215,0.9398572100214211,1.090244290711774,0.1340919696998955,0.371505711653841
CohereLabs/tiny-aya-global,ca,ComicsCharacter,30,0.25050601549127893,0.42947953980939757,0.3728546301833839,0.4556415106286021,0.8282496988773346,0.8300563752651214,0.8290007869402568,0.8680297593275706,0.9043128152688344,0.9207441231380916,0.09202874845356698,0.2589876906014763
CohereLabs/tiny-aya-global,ca,Company,66,0.3170807199866898,0.5400543396516826,0.5092321821198269,0.5847188342231722,0.8601288623882063,0.8772577652425477,0.868357856165279,0.8964570932316057,0.9385228563438762,1.0492355823547646,0.10926346064507075,0.30125937885486664
